mass_ratio,gamma,zeta_t,positive_frequency_integral,two_sided_integral
0.853,0.01,0.01,0.011747799489023995,0.02349559897804799
0.853,0.01,0.026500000000000003,0.011459592320766274,0.022919184641532548
0.853,0.01,0.043000000000000003,0.011369080845106398,0.022738161690212796
0.853,0.01,0.059500000000000004,0.011311948496592348,0.022623896993184695
0.853,0.01,0.076,0.011266573279667645,0.02253314655933529
0.853,0.01,0.0925,0.011226759712223824,0.02245351942444765
0.853,0.01,0.109,0.011190062811672523,0.022380125623345046
0.853,0.01,0.1255,0.011155322638500158,0.022310645277000316
0.853,0.01,0.14200000000000002,0.011121917713715622,0.022243835427431243
0.853,0.01,0.15850000000000003,0.01108948475575175,0.0221789695115035
0.853,0.01,0.17500000000000002,0.011057796966031801,0.022115593932063603
0.853,0.01,0.1915,0.011026705237299306,0.022053410474598613
0.853,0.01,0.20800000000000002,0.010996107344407407,0.021992214688814814
0.853,0.01,0.22450000000000003,0.010965930721268526,0.021931861442537053
0.853,0.01,0.24100000000000002,0.010936122312753439,0.021872244625506878
0.853,0.01,0.2575,0.010906642328115121,0.021813284656230243
0.853,0.01,0.274,0.010877460251314735,0.02175492050262947
0.853,0.01,0.29050000000000004,0.010848552210941685,0.02169710442188337
0.853,0.01,0.30700000000000005,0.010819899198205427,0.021639798396410854
0.853,0.01,0.3235,0.010791485830218005,0.02158297166043601
0.853,0.01,0.34,0.01076329947333635,0.0215265989466727
0.853,0.01,0.35650000000000004,0.010735329609891073,0.021470659219782147
0.853,0.01,0.373,0.010707567372966003,0.021415134745932006
0.853,0.01,0.3895,0.010680005199369905,0.02136001039873981
0.853,0.01,0.406,0.010652636567200675,0.02130527313440135
0.853,0.01,0.42250000000000004,0.010625455794855397,0.021250911589710795
0.853,0.01,0.43900000000000006,0.010598457885335262,0.021196915770670524
0.853,0.01,0.4555,0.010571638404360909,0.021143276808721818
0.853,0.01,0.47200000000000003,0.010544993384016987,0.021089986768033975
0.853,0.01,0.48850000000000005,0.010518519245892578,0.021037038491785155
0.853,0.01,0.505,0.010492212739265613,0.020984425478531226
0.853,0.01,0.5215000000000001,0.010466070890992102,0.020932141781984204
0.853,0.01,0.538,0.01044009096459295,0.0208801819291859
0.853,0.01,0.5545,0.010414270426617411,0.020828540853234823
0.853,0.01,0.5710000000000001,0.010388606918822112,0.020777213837644224
0.853,0.01,0.5875,0.01036309823500621,0.02072619647001242
0.853,0.01,0.6040000000000001,0.010337742301631201,0.020675484603262403
0.853,0.01,0.6205,0.010312537161506872,0.020625074323013744
0.853,0.01,0.637,0.010287480959996119,0.020574961919992238
0.853,0.01,0.6535000000000001,0.010262571933288639,0.020525143866577278
0.853,0.01,0.67,0.01023780839839689,0.02047561679679378
0.853,0.01,0.6865,0.010213188744559617,0.020426377489119234
0.853,0.01,0.7030000000000001,0.010188711425863743,0.020377422851727486
0.853,0.01,0.7195,0.010164374954848268,0.020328749909696537
0.853,0.01,0.736,0.010140177896959033,0.020280355793918067
0.853,0.01,0.7525000000000001,0.010116118865716419,0.020232237731432838
0.853,0.01,0.769,0.010092196518496754,0.020184393036993507
0.853,0.01,0.7855000000000001,0.010068409552823447,0.020136819105646894
0.853,0.01,0.802,0.010044756703113862,0.020089513406227725
0.853,0.01,0.8185,0.010021236737793208,0.020042473475586416
0.853,0.01,0.8350000000000001,0.009997848456753184,0.019995696913506368
0.853,0.01,0.8515,0.009974590689081476,0.019949181378162952
0.853,0.01,0.8680000000000001,0.009951462291051877,0.019902924582103753
0.853,0.01,0.8845000000000001,0.00992846214431421,0.01985692428862842
0.853,0.01,0.901,0.009905589154287927,0.019811178308575855
0.853,0.01,0.9175000000000001,0.009882842248705026,0.019765684497410053
0.853,0.01,0.934,0.009860220376308997,0.019720440752617995
