panel,point_id,kind,x_pixel,y_pixel,mode,vertical_reading_pixels,horizontal_reading_pixels
10a,10a_FE_01,published_FE,211,237,A,4,2
10a,10a_FE_02,published_FE,304,231,A,4,2
10a,10a_FE_03,published_FE,399,225,A,4,2
10a,10a_FE_04,published_FE,492,223,A,4,2
10a,10a_FE_05,published_FE,586,218,A,4,2
10a,10a_FE_06,published_FE,680,212,A,4,2
10a,10a_FE_07,published_FE,773,208,A,4,2
10a,10a_FE_08,published_FE,866,204,A,4,2
10b,10b_FE_01,published_FE,217,591,B,4,2
10b,10b_FE_02,published_FE,311,622,B,4,2
10b,10b_FE_03,published_FE,403,646,B,4,2
10b,10b_FE_04,published_FE,497,665,B,4,2
10b,10b_FE_05,published_FE,590,675,B,4,2
10b,10b_FE_06,published_FE,683,682,B,4,2
10b,10b_FE_07,published_FE,776,685,B,4,2
10b,10b_FE_08,published_FE,869,686,B,4,2
11a,11a_FE_01,published_FE,154,306,A,4,2
11a,11a_FE_02,published_FE,317,297,A,4,2
11a,11a_FE_03,published_FE,399,289,A,4,2
11a,11a_FE_04,published_FE,562,257,A,4,2
11a,11a_FE_05,published_FE,645,246,B,4,2
11a,11a_FE_06,published_FE,809,198,B,4,2
11a,11a_FE_07,published_FE,974,132,B,4,2
11b,11b_FE_01,published_FE,152,855,A,4,2
11b,11b_FE_02,published_FE,315,847,A,4,2
11b,11b_FE_03,published_FE,396,840,A,4,2
11b,11b_FE_04,published_FE,558,820,B,4,2
11b,11b_FE_05,published_FE,638,788,B,4,2
11b,11b_FE_06,published_FE,800,713,B,4,2
11b,11b_FE_07,published_FE,963,646,B,4,2
10a,10a_line_01,published_Eq6b_line,211,156,A_model,2,2
10a,10a_line_02,published_Eq6b_line,399,144,A_model,2,2
10a,10a_line_03,published_Eq6b_line,586,127,A_model,2,2
10a,10a_line_04,published_Eq6b_line,866,91,A_model,2,2
10b,10b_line_01,published_Eq6b_line,217,626,A_model,2,2
10b,10b_line_02,published_Eq6b_line,403,617,A_model,2,2
10b,10b_line_03,published_Eq6b_line,590,604,A_model,2,2
10b,10b_line_04,published_Eq6b_line,869,582,A_model,2,2
11a,11a_line_01,published_Eq6b_line,235,276.5,A_model,2,2
11a,11a_line_02,published_Eq6b_line,480,236.5,A_model,2,2
11a,11a_line_03,published_Eq6b_line,727,168.5,A_model,2,2
11a,11a_line_04,published_Eq6b_line,891,109,A_model,2,2
11b,11b_line_01,published_Eq6b_line,233,833,A_model,2,2
11b,11b_line_02,published_Eq6b_line,477,794.5,A_model,2,2
11b,11b_line_03,published_Eq6b_line,718,732,A_model,2,2
11b,11b_line_04,published_Eq6b_line,881,675,A_model,2,2
