panel,x,eq6b,eq12a,eq12b,eq16A,eq16B
10a,0.4,1.4166666666666665,1.15768,1.265272501291985,1.2129774775852975,1.364050194652336
10a,0.40218750000000003,1.4173143443159233,1.1585423125,1.26570688353713,1.2134426036910888,1.3624652744118988
10a,0.40437500000000004,1.4179661516377873,1.159404625,1.2661396150904487,1.213906214367189,1.360895795308448
10a,0.40656250000000005,1.4186220992126317,1.1602669375,1.266570711103625,1.2143683227090105,1.3593415245904303
10a,0.40875,1.4192821977023902,1.1611292500000001,1.2670001865086418,1.214828941629063,1.3578022342421654
10a,0.4109375,1.419946457851011,1.1619915625,1.267428056022122,1.215288083860473,1.3562777008627709
10a,0.413125,1.4206148904849178,1.162853875,1.2678543341495634,1.2157457619604153,1.3547677055488128
10a,0.41531250000000003,1.4212875065134731,1.1637161875,1.2682790351894666,1.2162019883134623,1.3532720337805382
10a,0.41750000000000004,1.4219643169294456,1.1645785,1.268702173237362,1.216656775134851,1.35179047531157
10a,0.4196875,1.4226453328094846,1.1654408125,1.2691237621897375,1.2171101344736728,1.350322824061936
10a,0.421875,1.4233305653145958,1.166303125,1.2695438157478707,1.2175620782159855,1.3488688780143188
10a,0.4240625,1.4240200256906244,1.1671654375,1.269962347421566,1.2180126180878528,1.3474284391134084
10a,0.42625,1.4247137252687399,1.16802775,1.2703793705328035,1.2184617656583097,1.3460013131682564
10a,0.4284375,1.425411675465929,1.1688900625,1.270794898219299,1.2189095323422607,1.344587309757519
10a,0.43062500000000004,1.4261138877854895,1.169752375,1.2712089434379783,1.2193559294033074,1.343186242137496
10a,0.43281250000000004,1.4268203738175327,1.1706146875,1.2716215189683704,1.2198009679565112,1.3417979271528657
10a,0.435,1.4275311452394852,1.1714769999999999,1.2720326374159179,1.220244658971093,1.3404221851500258
10a,0.4371875,1.4282462138166032,1.1723393125000001,1.2724423112152108,1.220687013273068,1.3390588398929486
10a,0.439375,1.4289655914024832,1.173201625,1.2728505526331444,1.2211280415478232,1.3377077184814699
10a,0.4415625,1.4296892899395846,1.1740639375,1.2732573737720025,1.2215677543426327,1.3363686512719237
10a,0.44375000000000003,1.430417321459752,1.17492625,1.2736627865724701,1.2220061620691172,1.3350414718000496
10a,0.4459375,1.4311496980847462,1.1757885625,1.2740668028165756,1.2224432750056493,1.333726016706095
10a,0.448125,1.4318864320267786,1.176650875,1.274469434130565,1.2228791032997017,1.332422125662035
10a,0.4503125,1.4326275355890499,1.1775131875,1.2748706919877115,1.223313656970145,1.33112964130085
10a,0.4525,1.4333730211662952,1.1783755,1.2752705877110604,1.223746945909493,1.3298484091477811
10a,0.4546875,1.4341229012453345,1.1792378125,1.2756691324761111,1.2241789798860985,1.3285782775535095
10a,0.45687500000000003,1.4348771884056268,1.180100125,1.276066337313439,1.2246097685463015,1.327319097629189
10a,0.45906250000000004,1.435635895319831,1.1809624375,1.2764622131112597,1.225039321416528,1.326070723183277
10a,0.46125,1.436399034754371,1.18182475,1.2768567706179337,1.2254676479053455,1.3248330106601025
10a,0.4634375,1.4371666195700072,1.1826870624999999,1.277250020444417,1.2258947573054713,1.323605819080119
10a,0.465625,1.4379386627224127,1.183549375,1.277641973066657,1.2263206587957387,1.3223890099817823
10a,0.4678125,1.4387151772627544,1.1844116875,1.278032638827935,1.2267453614430206,1.3211824473650096
10a,0.47000000000000003,1.4394961763382814,1.185274,1.2784220279411578,1.2271688742041118,1.3199859976361628
10a,0.4721875,1.4402816731929171,1.1861363125,1.2788101504910998,1.2275912059275698,1.3187995295545114
10a,0.474375,1.4410716811678574,1.186998625,1.2791970164365953,1.2280123653555186,1.3176229141801294
10a,0.4765625,1.4418662137021758,1.1878609375,1.2795826356126838,1.2284323611254127,1.3164560248231771
10a,0.47875,1.4426652843334322,1.18872325,1.2799670177327096,1.228851201771764,1.3152987369945306
10a,0.4809375,1.4434689066982895,1.1895855625,1.2803501723903754,1.2292688957278342,1.3141509283577126
10a,0.483125,1.4442770945331336,1.190447875,1.2807321090617525,1.2296854513272881,1.3130124786820865
