d,r,s,exact_work_ratio,eq6b_ratio,rounding_difference_percent,relative_work_residual
0.3,0.3,0.8,1.0965754694973544,1.0966751918158568,0.009093976773721365,-5.632049939678587e-17
0.3,0.3,1.0,1.1149881173060785,1.1150895140664963,0.009093976773738605,-5.539043610399492e-17
0.3,0.3,1.12,1.126035705991313,1.1261381074168797,0.009093976773717127,5.484699795907926e-17
0.3,0.3,1.4,1.151813412923527,1.1519181585677747,0.009093976773713599,5.361951629960431e-17
0.3,0.5,0.8,1.227509853914949,1.2276214833759589,0.009093976773704085,-5.0312979461128707e-17
0.3,0.5,1.0,1.2786560978280719,1.278772378516624,0.009093976773715663,0.0
0.3,0.5,1.12,1.3093438441759455,1.309462915601023,0.009093976773712,0.0
0.3,0.5,1.4,1.3809485856543173,1.381074168797954,0.009093976773736245,-4.4722648409892186e-17
0.3,0.7,0.8,1.4239114305413407,1.4240409207161124,0.009093976773715314,8.674651631229088e-17
0.3,0.7,1.0,1.5241580686110612,1.5242966751918159,0.009093976773748765,-1.215615611141365e-16
0.3,0.7,1.12,1.584306051452894,1.5844501278772378,0.009093976773727558,0.0
0.3,0.7,1.4,1.724651344750503,1.7248081841432223,0.009093976773726748,-7.161989958879533e-17
0.3,1.0,0.8,1.8412647808724234,1.8414322250639386,0.009093976773716145,0.0
0.3,1.0,1.0,2.0458497565249147,2.0460358056265986,0.00909397677373303,3.018778767667723e-17
0.3,1.0,1.12,2.1686007419164093,2.1687979539641944,0.009093976773743679,-8.543713493399216e-17
0.3,1.0,1.4,2.455019707829898,2.4552429667519178,0.009093976773704085,-5.0312979461128707e-17
0.3,1.2,0.8,2.2013343380208084,2.20153452685422,0.009093976773720763,-2.8055564755276233e-17
0.3,1.2,1.0,2.495936702960396,2.49616368286445,0.009093976773719507,-1.48464529557429e-16
0.3,1.2,1.12,2.6726981219241486,2.672941176470588,0.009093976773725532,-9.243045828743793e-17
0.3,1.2,1.4,3.085141432839571,3.08542199488491,0.00909397677373211,-8.00737073651916e-17
0.4,0.3,0.8,1.1164828736895953,1.1166666666666667,0.016461782030208046,-2.7658139468033776e-17
0.4,0.3,1.0,1.1352297876134874,1.1354166666666667,0.016461782030247903,-1.6320839730127826e-16
0.4,0.3,1.12,1.146477935967823,1.1466666666666667,0.016461782030232446,-1.8854167747831167e-16
0.4,0.3,1.4,1.1727236154612726,1.1729166666666666,0.01646178203021017,5.266345561231298e-17
