panel,point_id,kind,x_pixel,y_pixel,mode,vertical_reading_pixels,horizontal_reading_pixels,x,published_ratio,reading_dx,reading_dy,diameter_ratio,thickness_ratio,yield_ratio,eq6b,eq6b_difference_percent,eq12a,eq12a_difference_percent,eq12b,eq12b_difference_percent,eq16,eq16_difference_percent,eq6b_delta_from_published_line,eq6b_line_residual_over_reading_envelope
10a,10a_FE_01,published_FE,211,237,A,4,2,0.399644128113879,1.2071672354948806,0.001601423487544484,0.012798634812286687,0.399644128113879,0.6,1.0,1.4165616895354065,17.345935830894568,1.1575397153024911,-4.111072495439671,1.2652016769648653,4.807489779673599,1.2129016646496762,0.47503187513574,0.20939445404052592,15.777288892240547
10a,10a_FE_02,published_FE,304,231,A,4,2,0.44928825622775803,1.2225255972696245,0.001601423487544484,0.012798634812286687,0.44928825622775803,0.6,1.0,1.4322799870542309,17.15746404435781,1.1771094306049823,-3.7149460727917836,1.2746829830024018,4.266363489587868,1.2231103458157548,0.0478311904009456,0.20975438978460637,15.720822682302154
10a,10a_FE_03,published_FE,399,225,A,4,2,0.5,1.2378839590443687,0.001601423487544484,0.012798634812286687,0.5,0.6,1.0,1.4506666666666665,17.1892289311644,1.1971,-3.2946512269092914,1.2836385368075973,3.696192799731458,1.2328614965958689,-0.4057296656769895,0.2127827076222979,15.856357190838635
10a,10a_FE_04,published_FE,492,223,A,4,2,0.5496441281138791,1.2430034129692833,0.001601423487544484,0.012798634812286687,0.5496441281138791,0.6,1.0,1.4711086700390688,18.35113682631717,1.216669715302491,-2.118553930908879,1.2918090205195636,3.9264258682680193,1.241847899439208,-0.09296141249645339,0.22810525706978546,16.89627428984307
10a,10a_FE_05,published_FE,586,218,A,4,2,0.5998220640569395,1.25580204778157,0.001601423487544484,0.012798634812286687,0.5998220640569395,0.6,1.0,1.494417844652979,19.00106766770563,1.2364498576512455,-1.541022342216348,1.299558030186243,3.484305705821235,1.2504486282808573,-0.4262948535694464,0.2386157968714091,17.559752248817567
10a,10a_FE_06,published_FE,680,212,A,4,2,0.65,1.271160409556314,0.001601423487544484,0.012798634812286687,0.65,0.6,1.0,1.5206149545772185,19.624159401563972,1.25623,-1.174549603973695,1.3068656252926734,2.8088678240712257,1.2586276926441013,-0.9859272533973202,0.24945454502090447,18.228144298174403
10a,10a_FE_07,published_FE,773,208,A,4,2,0.699644128113879,1.2813993174061433,0.001601423487544484,0.012798634812286687,0.699644128113879,0.6,1.0,1.5496376452402525,20.933234799678782,1.2757997153024911,-0.43699118827276295,1.3137165231027894,2.5220245756072193,1.2663548198655006,-1.1740678597438603,0.26823832783410917,19.45224931844398
10a,10a_FE_08,published_FE,866,204,A,4,2,0.7492882562277581,1.2916382252559726,0.001601423487544484,0.012798634812286687,0.7492882562277581,0.6,1.0,1.582054334678031,22.48432291205261,1.2953694306049823,0.2888738716501122,1.3202350859111545,2.213999252733065,1.273759534005564,-1.384187220602378,0.2904161094220583,20.88612310621426
10b,10b_FE_01,published_FE,217,591,B,4,2,0.39999999999999997,2.2785467128027683,0.0016129032258064516,0.02768166089965398,0.39999999999999997,1.0,1.0,2.0833333333333335,-8.567451278157428,1.438,-36.88959757023539,1.7368680591444026,-23.772988748256292,2.240504279028791,-1.6695920061776017,-0.19521337946943484,6.8777419325767655
10b,10b_FE_02,published_FE,311,622,B,4,2,0.4505376344086022,2.1069204152249137,0.0016129032258064516,0.02768166089965398,0.4505376344086022,1.0,1.0,2.1069177314885725,-0.0001273772052216576,1.4933387096774193,-29.12220609348429,1.7636441982777806,-16.29279466213195,2.1278761162931965,0.9946128442656813,-2.6837363411580384e-06,9.419970618401869e-05
10b,10b_FE_03,published_FE,403,646,B,4,2,0.5,1.9740484429065743,0.0016129032258064516,0.02768166089965398,0.5,1.0,1.0,2.1333333333333333,8.068945369558868,1.5474999999999999,-21.60780017528484,1.7878848244655485,-9.430549645829354,2.03769627144898,3.224228299518892,0.15928489042675897,5.56918763006825
10b,10b_FE_04,published_FE,497,665,B,4,2,0.5505376344086022,1.8688581314878894,0.0016129032258064516,0.02768166089965398,0.5505376344086022,1.0,1.0,2.1639703564333646,15.791044808228536,1.6028387096774193,-14.23432936552969,1.8109756939235284,-3.0972087495094085,1.9607638411509474,4.917746730720933,0.2951122249454752,10.274344467691042
10b,10b_FE_05,published_FE,590,675,B,4,2,0.6005376344086022,1.8134948096885812,0.0016129032258064516,0.02768166089965398,0.6005376344086022,1.0,1.0,2.1981919845511504,21.21302872262593,1.6575887096774193,-8.596997310289218,1.832403318524487,1.0426558011022269,1.8962188551921841,4.5615815971267395,0.38469717486256916,13.332566101373475
10b,10b_FE_06,published_FE,683,682,B,4,2,0.6505376344086022,1.7747404844290657,0.0016129032258064516,0.02768166089965398,0.6505376344086022,1.0,1.0,2.236635607670737,26.026065630111717,1.7123387096774194,-3.516107019541,1.8526159682659071,4.387992752748521,1.8406753606355704,3.7151840950828303,0.46189512324167126,15.92945389809147
10b,10b_FE_07,published_FE,776,685,B,4,2,0.7005376344086022,1.7581314878892733,0.0016129032258064516,0.02768166089965398,0.7005376344086022,1.0,1.0,2.2796913263942424,29.6655763290565,1.7670887096774193,0.5094739415024957,1.8717685066355498,6.463510808438086,1.792320846289447,1.9446417196713688,0.5215598385049691,17.89085265838072
10b,10b_FE_08,published_FE,869,686,B,4,2,0.7505376344086021,1.7525951557093427,0.0016129032258064516,0.02768166089965398,0.7505376344086021,1.0,1.0,2.327819038916753,32.821264017165156,1.8218387096774191,3.9509155176256856,1.8899866178432392,7.839315410996267,1.7498049108097984,-0.159206471069752,0.5752238832074101,19.615819780052156
11a,11a_FE_01,published_FE,154,306,A,4,2,0.2,1.045171339563863,0.003658536585365854,0.03894080996884735,0.7,0.2,1.0,1.1851851851851851,13.396257658552715,1.03066,-1.3884172876304273,1.0348627095414769,-0.9863100557931398,1.0190747075115847,-2.4968759728111385,0.14001384562132202,3.4465988111342667
11a,11a_FE_02,published_FE,317,297,A,4,2,0.39878048780487807,1.1152647975077883,0.003658536585365854,0.03894080996884735,0.7,0.39878048780487807,1.0,1.320827210773671,18.431713591717408,1.1218933350684117,0.5943465242905362,1.138601824381342,2.092509951511385,1.099941821014583,-1.3739316911505257,0.20556241326588265,4.861779389400299
11a,11a_FE_03,published_FE,399,289,A,4,2,0.49878048780487805,1.177570093457944,0.003658536585365854,0.03894080996884735,0.7,0.49878048780487805,1.0,1.42311336184031,20.851690251518374,1.1906913838488995,1.114268310977962,1.2168303433524608,3.3340053481851486,1.170989164872747,-0.5588566338222838,0.24554326838236595,5.695055498642826
11a,11a_FE_04,published_FE,562,257,A,4,2,0.697560975609756,1.4267912772585671,0.003658536585365854,0.03894080996884735,0.7,0.697560975609756,1.0,1.6941211563460223,18.73643912381509,1.372972242712671,-3.772032770574821,1.4240972917392383,-0.18881426893112804,1.3824574464576591,-3.1072401063518504,0.2673298790874552,5.970822346385696
11a,11a_FE_05,published_FE,645,246,B,4,2,0.7987804878048781,1.5124610591900312,0.003658536585365854,0.03894080996884735,0.7,0.7987804878048781,1.0,1.8667239517923635,23.422943053624856,1.4890655301903628,-1.54685165991628,1.5561040288902475,2.885559891610594,1.462374316133272,-3.3116054626611056,0.35426289260233235,7.766073754082356
11a,11a_FE_06,published_FE,809,198,B,4,2,0.998780487804878,1.8862928348909658,0.003658536585365854,0.03894080996884735,0.7,0.998780487804878,1.0,2.276424459053846,20.682452742573833,1.7646316277513385,-6.449751856617729,1.8694432597691304,-0.8932640155423877,1.7904892099022027,-5.078937014268033,0.3901316241628803,8.250740187459984
11a,11a_FE_07,published_FE,974,132,B,4,2,1.2,2.4003115264797508,0.003658536585365854,0.03894080996884735,0.7,1.2,1.0,2.7806267806267804,15.844412275301298,2.10376,-12.354709928617787,2.2550575434931655,-6.051463794768837,2.2280125868370058,-7.178190736576399,0.3803152541470296,7.772351987673255
