beta,clearance_mm,r0_over_Delta_r,published_Fc_MN,direct_regression_MN,eq22_scaled_MN,eq22_diff_percent
0.3,2.0,0.06633499170812601,3.37,3.1040052880863485,3.1048192511548702,-7.868864950894062
0.3,4.0,0.13266998341625202,3.09,2.990540317115384,2.9911781745045896,-3.1981173299485537
0.3,8.0,0.26533996683250405,2.89,2.877075346144419,2.877537097854309,-0.4312422887782434
0.3,12.0,0.3980099502487561,2.71,2.81070259298099,2.811061329472316,3.7292003495319617
0.3,16.0,0.5306799336650081,2.66,2.763610375173454,2.763896021204028,3.905865458798048
0.3,20.0,0.6633499170812601,2.62,2.7270828132323217,2.7273117658970545,4.095868927368487
0.3,24.0,0.7960199004975121,2.6,2.697237622010025,2.6974202528220355,3.7469328008475142
0.4,2.0,0.06633499170812601,2.67,2.510814827958645,2.5113622925440193,-5.941487170635978
0.4,4.0,0.13266998341625202,2.41,2.39734985698768,2.3977212158937387,-0.5094931164423853
0.4,8.0,0.26533996683250405,2.29,2.2838848860167156,2.284080139243458,-0.2585092033424476
0.4,12.0,0.3980099502487561,2.17,2.2175121328532867,2.2176043708614652,2.1937498092841152
0.4,16.0,0.5306799336650081,2.13,2.1704199150457506,2.1704390625931773,1.8985475395857945
0.4,20.0,0.6633499170812601,2.11,2.1338923531046183,2.1338548072862036,1.1305595870238723
0.4,24.0,0.7960199004975121,2.08,2.1040471618823218,2.1039632942111846,1.1520814524607923
0.5,2.0,0.06633499170812601,2.23,2.1549005518820232,2.1552881173775087,-3.3503086377798783
0.5,4.0,0.13266998341625202,2.02,2.0414355809110583,2.041647040727228,1.071635679565743
0.5,8.0,0.26533996683250405,1.91,1.9279706099400933,1.9280059640769474,0.9427206323009129
0.5,12.0,0.3980099502487561,1.83,1.8615978567766645,1.8615301956949546,1.722961513385493
0.5,16.0,0.5306799336650081,1.8,1.8145056389691288,1.8143648874266667,0.7980493014814799
0.5,20.0,0.6633499170812601,1.78,1.777978077027996,1.7777806321196932,-0.124683588781284
0.5,24.0,0.7960199004975121,1.76,1.7481328858056995,1.747889119044674,-0.6881182360980731
0.6,2.0,0.06633499170812601,1.94,1.9176243678309417,1.9179053339331684,-1.1389003127232746
0.6,4.0,0.13266998341625202,1.76,1.8041593968599767,1.8042642572828878,2.5150146183458943
0.6,8.0,0.26533996683250405,1.66,1.6906944258890122,1.690623180632607,1.8447699176269374
0.6,12.0,0.3980099502487561,1.61,1.6243216727255834,1.6241474122506143,0.8787212578021255
0.6,16.0,0.5306799336650081,1.58,1.5772294549180472,1.5769821039823264,-0.19100607706795317
0.6,20.0,0.6633499170812601,1.57,1.540701892976915,1.540397848675353,-1.8854873455189276
0.6,24.0,0.7960199004975121,1.55,1.5108567017546184,1.5105063356003336,-2.547978348365574
0.7,2.0,0.06633499170812601,1.72,1.7481413792230263,1.748346202901497,1.6480350524126117
0.7,4.0,0.13266998341625202,1.58,1.6346764082520617,1.634705126251216,3.4623497627351854
0.7,8.0,0.26533996683250405,1.5,1.5212114372810968,1.5210640496009353,1.4042699733956887
0.7,12.0,0.3980099502487561,1.45,1.454838684117668,1.4545882812189426,0.3164331875132837
0.7,16.0,0.5306799336650081,1.42,1.4077464663101322,1.4074229729506547,-0.8857061302355823
0.7,20.0,0.6633499170812601,1.41,1.3712189043689995,1.3708387176436811,-2.777395911795658
0.7,24.0,0.7960199004975121,1.4,1.341373713146703,1.340947204568662,-4.218056816524144
0.8,2.0,0.06633499170812601,1.57,1.6210291377670898,1.621176854627743,3.2596722692829876
0.8,4.0,0.13266998341625202,1.45,1.5075641667961253,1.5075357779774623,3.9679846881008514
0.8,8.0,0.26533996683250405,1.37,1.3940991958251603,1.3938947013271816,1.7441387830059505
0.8,12.0,0.3980099502487561,1.33,1.3277264426617315,1.3274189329451889,-0.19406519209106793
0.8,16.0,0.5306799336650081,1.31,1.2806342248541955,1.280253624676901,-2.270715673519015
0.8,20.0,0.6633499170812601,1.29,1.244106662913063,1.2436693693699272,-3.59152175426921
0.8,24.0,0.7960199004975121,1.28,1.2142614716907665,1.2137778562949082,-5.173604976960299
0.9,2.0,0.06633499170812601,1.44,1.5221640610791396,1.5222673615259346,5.713011217078792
0.9,4.0,0.13266998341625202,1.34,1.4086990901081746,1.408626284875654,5.121364542959239
0.9,8.0,0.26533996683250405,1.26,1.2952341191372096,1.2949852082253732,2.776603827410572
0.9,12.0,0.3980099502487561,1.24,1.2288613659737808,1.2285094398433802,-0.9266580771467545
0.9,16.0,0.5306799336650081,1.21,1.1817691481662451,1.1813441315750925,-2.3682535888353238
0.9,20.0,0.6633499170812601,1.2,1.1452415862251124,1.1447598762681188,-4.603343644323429
0.9,24.0,0.7960199004975121,1.19,1.115396395002816,1.1148683631930996,-6.313582924949612
1.0,2.0,0.06633499170812601,1.35,1.443071999728779,1.4431397670444879,6.899242003295391
1.0,4.0,0.13266998341625202,1.25,1.3296070287578141,1.329498690394207,6.359895231536559
1.0,8.0,0.26533996683250405,1.18,1.2161420577868494,1.2158576137439263,3.0387808257564726
1.0,12.0,0.3980099502487561,1.16,1.1497693046234203,1.1493818453619336,-0.9153581584539974
1.0,16.0,0.5306799336650081,1.14,1.1026770868158846,1.1022165370936456,-3.3143388514345844
1.0,20.0,0.6633499170812601,1.13,1.066149524874752,1.0656322817866721,-5.696258248967059
1.0,24.0,0.7960199004975121,1.12,1.0363043336524556,1.0357407687116529,-7.5231456507452865
